Index,Num_c,SMILES,CID,IUPACName,XLogP,Volume3D,MolecularWeight,Charge,EffectiveRotorCount3D,RotatableBondCount,TPSA,Complexity,HeavyAtomCount,FeatureCationCount3D,FeatureHydrophobeCount3D,XStericQuadrupole3D,YStericQuadrupole3D,ZStericQuadrupole3D,ConformerCount3D
104,15,CCCCCCCC[N+](C)(CCC)CCC,143162850,methyl-octyl-dipropylazanium,5.5,210.0,228.44,1,11.0,11,0,136,16,1.0,5.0,15.39,2.57,1.06,10
106,15,CCCCCCC[N+](C)(C)CCCCCC,23094264,heptyl-hexyl-dimethylazanium,5.5,211.4,228.44,1,11.0,11,0,140,16,1.0,4.0,12.14,5.19,0.93,10
109,15,CCCCCCC[N+](CC)(CC)CCCC,87526431,butyl-diethyl-heptylazanium,5.1,208.4,228.44,1,11.0,11,0,138,16,1.0,3.0,10.83,3.51,1.28,10
110,15,CCCCCCC[N+](CC)(CCC)CCC,87089434,ethyl-heptyl-dipropylazanium,5.3,208.4,228.44,1,11.0,11,0,136,16,1.0,4.0,11.47,2.64,1.65,10
111,15,CCCCCC[N+](C)(CC)CCCCCC,87507678,ethyl-dihexyl-methylazanium,5.3,209.6,228.44,1,11.0,11,0,130,16,1.0,4.0,14.55,3.13,1.03,10
112,15,CCCCCC[N+](C)(CCC)CCCCC,87507746,hexyl-methyl-pentyl-propylazanium,5.3,209.7,228.44,1,11.0,11,0,144,16,1.0,4.0,12.49,3.61,1.05,10
113,15,CCCCCC[N+](C)(CCCC)CCCC,23088868,dibutyl-hexyl-methylazanium,5.1,209.5,228.44,1,11.0,11,0,134,16,1.0,4.0,9.58,4.65,1.25,10
114,15,CCCCCC[N+](CC)(CC)CCCCC,175075511,diethyl-hexyl-pentylazanium,5.1,208.5,228.44,1,11.0,11,0,138,16,1.0,3.0,12.18,2.88,1.35,10
115,15,CCCCCC[N+](CC)(CCC)CCCC,153959333,butyl-ethyl-hexyl-propylazanium,5.1,208.4,228.44,1,11.0,11,0,144,16,1.0,4.0,10.03,3.3,1.54,10
116,15,CCCCCC[N+](CCC)(CCC)CCC,20376280,hexyl(tripropyl)azanium,5.3,208.0,228.44,1,11.0,11,0,125,16,1.0,5.0,9.05,2.63,2.22,10
